#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 18:58
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B2BTUR01;Brno, Tuøany;01.01.1961;31.12.1996;16.6956;49.1597;241
B2BTUR01;Brno, Tuøany;01.01.1997;31.12.2023;16.688889;49.153056;241

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Teplomìr;01.01.1961;31.12.1996;2
Teplotní èidlo;01.01.1997;31.10.2010;2
Teplotní èidlo;01.11.2010;31.12.2023;2.03

PRVEK
Prùmìrná denní teplota vzduchu [T.AVG, °C]

POPIS
Hodnota - mìsíèní hodnota prvku pro daný mìsíc
Datum - datum výskytu hodnoty
Pøíznak * u datumu znamená, že se hodnota vyskytla vícekrát
Pøíznak I znamená, že se výpoèet provedl z neúplných dat.

STATISTIKA
AVG - prùmìrná hodnota za mìsíc
SUM - souèet za mìsíc
MAX - maximální hodnota za mìsíc a den maxima
MIN - minimální hodnota za mìsíc a den minima

MÌSÍÈNÍ DATA
Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1994;AVG;2.3;;-.1;;6.8;;9.7;;14.3;;18.3;;23.1;;20.7;;16.3;;7.6;;5.3;;.9;;10.4;;
1994;MAX;9;07.01.1994;6.7;06.02.1994;14.4;31.03.1994;17.4;30.04.1994;20.9;18.05.1994;26.8;27.06.1994;28.4;30.07.1994*;28.1;01.08.1994;22.2;01.09.1994;17;01.10.1994;10.1;05.11.1994;11.2;12.12.1994;28.4;30.07.1994*;
1994;MIN;-5.2;20.01.1994;-11.1;13.02.1994;2.7;05.03.1994*;4;10.04.1994;8.8;02.05.1994;11.3;06.06.1994;17.1;07.07.1994;15.5;26.08.1994;9.1;18.09.1994;1.1;18.10.1994;-.9;13.11.1994;-3.3;24.12.1994;-11.1;13.02.1994;
1995;AVG;-1.2;;3.7;;3.2;;9.7;;14;;16.6;;22.1;;19.4;;13.3;;10.9;;1.2;;-1.9;;9.3;;
1995;MAX;4.6;26.01.1995;8.5;20.02.1995*;7.9;25.03.1995;20.8;23.04.1995;21.9;29.05.1995;21.7;30.06.1995;26.5;22.07.1995;24.3;07.08.1995;20.6;13.09.1995;16.9;09.10.1995;7.4;01.11.1995;3.2;24.12.1995;26.5;22.07.1995;
1995;MIN;-5.2;18.01.1995;-1.6;10.02.1995;-2.2;14.03.1995;2.7;13.04.1995;7.8;14.05.1995;12.7;03.06.1995;16.6;23.07.1995;10.2;30.08.1995;6.5;29.09.1995;4.2;22.10.1995;-4.6;22.11.1995;-10.5;29.12.1995;-10.5;29.12.1995;
1996;AVG;-4.2;;-4.3;;.1;;9.5;;15;;18;;17.6;;18.4;;11.2;;10.2;;5.5;;-4.1;;7.7;;
1996;MAX;4;12.01.1996;3.4;17.02.1996;4.6;24.03.1996;17.7;23.04.1996;21.6;19.05.1996;25.4;09.06.1996;22.8;14.07.1996;23.5;02.08.1996;17.1;03.09.1996;15.7;01.10.1996;12.7;12.11.1996;1.9;19.12.1996;25.4;09.06.1996;
1996;MIN;-12.1;25.01.1996;-12;07.02.1996;-5;04.03.1996;-.5;01.04.1996;10.4;10.05.1996*;10.7;23.06.1996;12.5;09.07.1996;13;04.08.1996;8.4;14.09.1996;4.1;27.10.1996;-1.9;23.11.1996;-16.6;29.12.1996;-16.6;29.12.1996;
1997;AVG;-4.2;;1.8;;4.6;;6.7;;15.1;;18;;18.2;;20.2;;14.7;;6.8;;4.2;;1.5;;9;;
1997;MAX;2;29.01.1997;9.1;25.02.1997;10.2;14.03.1997;13.2;25.04.1997;22;16.05.1997;25.3;29.06.1997;21.5;23.07.1997;23.3;14.08.1997;21.7;04.09.1997;17.3;09.10.1997;15.9;07.11.1997;6.3;12.12.1997*;25.3;29.06.1997;
1997;MIN;-10.1;01.01.1997;-5.9;03.02.1997;-.5;23.03.1997;.8;16.04.1997;7.9;31.05.1997;10.4;01.06.1997;14.1;06.07.1997;14.2;29.08.1997;8.8;21.09.1997;-1.1;28.10.1997;-2.4;20.11.1997;-10.2;16.12.1997;-10.2;16.12.1997;
1998;AVG;1;;3.7;;3.9;;11.3;;15;;19;;19.8;;19.8;;14.3;;9.1;;.8;;-2;;9.6;;
1998;MAX;9.1;09.01.1998;11.7;16.02.1998;12.8;04.03.1998;18;27.04.1998;21.4;12.05.1998;28.2;07.06.1998;28.2;21.07.1998;27.4;12.08.1998;18.7;10.09.1998;13.8;08.10.1998;6.7;01.11.1998;4.5;16.12.1998;28.2;07.06.1998*;
1998;MIN;-5.9;31.01.1998;-11.5;01.02.1998;-2.4;11.03.1998;5.5;14.04.1998;9.3;23.05.1998;9.8;13.06.1998;12.2;08.07.1998;11.2;31.08.1998;9.3;14.09.1998;5.3;26.10.1998;-6.1;21.11.1998;-9.3;11.12.1998;-11.5;01.02.1998;
1999;AVG;-.8;;-.5;;6.1;;10.9;;15;;17.6;;20.9;;18.8;;18;;9.9;;3.1;;-.3;;9.9;;
1999;MAX;3.8;05.01.1999;4.4;27.02.1999;13.2;26.03.1999*;15.3;30.04.1999;23.1;30.05.1999;21.7;06.06.1999;26;05.07.1999;23.7;06.08.1999*;21.5;10.09.1999;16.1;03.10.1999;10.9;03.11.1999;4.6;02.12.1999;26;05.07.1999;
1999;MIN;-10.1;31.01.1999;-7.1;01.02.1999;.5;17.03.1999;5.2;17.04.1999;9.9;16.05.1999;10.1;22.06.1999;16.5;08.07.1999;14.8;23.08.1999;14.1;02.09.1999;3.9;20.10.1999;-2.6;30.11.1999;-8.6;22.12.1999;-10.1;31.01.1999;
2000;AVG;-2.2;;3.1;;5;;13.5;;16.8;;19.7;;17.7;;21;;14.3;;12.4;;7.2;;1.2;;10.8;;
2000;MAX;6.6;31.01.2000;7.7;08.02.2000;10.7;09.03.2000;20.6;30.04.2000;22;17.05.2000;28.3;22.06.2000;24.5;03.07.2000;26.5;19.08.2000;18.5;13.09.2000;18.6;13.10.2000;14;14.11.2000;6.2;13.12.2000;28.3;22.06.2000;
2000;MIN;-10.2;25.01.2000;-1.4;22.02.2000;-.2;05.03.2000;4.5;06.04.2000;10.5;20.05.2000;13.6;27.06.2000;12.7;16.07.2000;15.9;26.08.2000;9.1;18.09.2000;3.2;24.10.2000;2.9;30.11.2000;-6.6;24.12.2000;-10.2;25.01.2000;
2001;AVG;-.4;;1.3;;4.7;;8.6;;16.2;;16.1;;20.1;;20.5;;12.6;;11.9;;2.4;;-3.9;;9.2;;
2001;MAX;4.4;07.01.2001;8.2;08.02.2001;12.1;12.03.2001;19;30.04.2001;20.9;29.05.2001;21.8;27.06.2001;27.3;15.07.2001;26.8;03.08.2001;16.3;03.09.2001;18.7;02.10.2001;9.4;08.11.2001;.9;29.12.2001;27.3;15.07.2001;
2001;MIN;-6.8;14.01.2001;-4.8;24.02.2001*;-.8;21.03.2001;1.3;14.04.2001;11.6;07.05.2001;9.7;04.06.2001;14.4;17.07.2001;14.5;29.08.2001;9.7;18.09.2001;5.5;27.10.2001;-2.2;18.11.2001;-13.7;14.12.2001;-13.7;14.12.2001;
2002;AVG;-1.2;;3.6;;5.8;;9.4;;17.1;;19.1;;20.9;;20.4;;14;;7.5;;6;;-3.1;;10;;
2002;MAX;9.9;28.01.2002;10.6;12.02.2002;10.2;31.03.2002;14.3;26.04.2002;21.8;04.05.2002;25.4;19.06.2002;26.8;10.07.2002;22.5;03.08.2002;20.7;09.09.2002;11.9;04.10.2002;15.4;16.11.2002;4.8;01.12.2002;26.8;10.07.2002;
